index,time
24083,1685156569957
24085,1685156569958
24087,1685156569963
24089,1685156569965
24091,1685156569969
24093,1685156569970
24095,1685156569975
24097,1685156569976
24099,1685156569978
24101,1685156569981
24103,1685156569982
24104,1685156569982
24106,1685156569986
24107,1685156569986
24109,1685156569988
24111,1685156569989
24113,1685156569991
24115,1685156569996
24117,1685156569997
24119,1685156570000
24120,1685156570000
24123,1685156570001
24125,1685156570003
24127,1685156570004
24129,1685156570007
24131,1685156570009
24133,1685156570010
24135,1685156570011
24136,1685156570011
24139,1685156570014
24141,1685156570015
24143,1685156570016
24145,1685156570018
24147,1685156570019
24149,1685156570026
24151,1685156570030
24153,1685156570032
24155,1685156570038
24157,1685156570045
24159,1685156570049
24161,1685156570053
24163,1685156570054
24165,1685156570060
24167,1685156570061
24169,1685156570062
24171,1685156570070
24173,1685156570071
24175,1685156570076
24177,1685156570082
24179,1685156570086
24181,1685156570090
24183,1685156570092
24185,1685156570092
24187,1685156570096
24189,1685156570097
24190,1685156570097
24192,1685156570098
24194,1685156570104
24196,1685156570105
24198,1685156570108
24200,1685156570111
24202,1685156570114
24204,1685156570117
24206,1685156570119
24208,1685156570126
24210,1685156570128
24212,1685156570133
24214,1685156570139
24215,1685156570139
24217,1685156570140
24220,1685156570141
24222,1685156570142
24223,1685156570142
24226,1685156570147
24228,1685156570147
24230,1685156570152
24232,1685156570156
24234,1685156570156
24236,1685156570157
24237,1685156570158
24240,1685156570159
24242,1685156570160
24243,1685156570160
24246,1685156570161
24248,1685156570163
24250,1685156570165
24252,1685156570172
24254,1685156570173
24256,1685156570175
24257,1685156570175
24260,1685156570181
24262,1685156570185
24264,1685156570190
24266,1685156570191
24268,1685156570192
24270,1685156570198
24272,1685156570215
24274,1685156570216
24276,1685156570219
24278,1685156570221
24280,1685156570229
24281,1685156570230
24284,1685156570232
24286,1685156570235
24288,1685156570238
24290,1685156570244
24292,1685156570245
24293,1685156570245
24296,1685156570246
24298,1685156570256
24300,1685156570263
24301,1685156570263
24304,1685156570264
24306,1685156570265
24308,1685156570270
24310,1685156570272
24312,1685156570275
24314,1685156570276
24316,1685156570278
24318,1685156570281
24319,1685156570281
24322,1685156570283
24324,1685156570286
24326,1685156570288
24328,1685156570290
24330,1685156570291
24332,1685156570333
24334,1685156570341
24335,1685156570341
24338,1685156570349
24340,1685156570354
24342,1685156570356
24344,1685156570357
24346,1685156570362
24348,1685156570366
24350,1685156570367
24352,1685156570368
24353,1685156570368
24356,1685156570370
24358,1685156570371
24360,1685156570377
24362,1685156570379
24364,1685156570381
24366,1685156570383
24368,1685156570387
24370,1685156570391
24372,1685156570392
24374,1685156570394
24376,1685156570397
24378,1685156570399
24380,1685156570401
24381,1685156570401
24384,1685156570403
24386,1685156570404
24388,1685156570408
24389,1685156570408
24392,1685156570411
24394,1685156570412
24396,1685156570414
24398,1685156570416
24400,1685156570419
24402,1685156570423
24404,1685156570426
24406,1685156570429
24408,1685156570430
24410,1685156570434
24412,1685156570436
24414,1685156570441
24416,1685156570442
24418,1685156570444
24420,1685156570447
24422,1685156570448
24424,1685156570449
24426,1685156570452
24428,1685156570457
24430,1685156570459
24432,1685156570463
24434,1685156570465
24436,1685156570472
24437,1685156570473
24438,1685156570476
24441,1685156570482
24443,1685156570490
24445,1685156570497
